Age,Industry,Job Title,Annual Salary,Monetary Compensation,Currency,Country of Employment,State (USA),Overall Number of Years of Experience,Number of Years of Experience in Your Field,Highest Level of Education,Gender,Ethnicity
35-44,Education (Higher Education),Director of Global Outreach,91500.0,0.0,USD,USA,California,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Law,Attorney Manager,108000.0,0.0,USD,USA,Missouri,8 - 10 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Computing or Tech,Software Engineer senior principal ,189000.0,60000.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Computing or Tech,Team Lead,135000.0,0.0,CAD,Canada,Outside of the US,8 - 10 years,8 - 10 years,College degree,Male,White
25-34,Health care,School mental health therapist ,73000.0,0.0,USD,USA,Alaska,8 - 10 years,8 - 10 years,Master's degree,Female,"Middle Eastern or Northern African, White"
25-34,Transport or Logistics,aerospace machinist ,84000.0,1400.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Property or Construction,Contract administrator ,65000.0,0.0,AUD/NZD,Australia,Outside of the US,8 - 10 years,8 - 10 years,Some college,Female,White
35-44,Government and Public Administration,Program Officer,90000.0,0.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,PhD,Female,White
35-44,Computing or Tech,Systems Architect,260000.0,200000.0,USD,USA,Washington,21 - 30 years,21 - 30 years,Some college,Male,White
25-34,Education (Primary/Secondary),High school teacher,100000.0,5000.0,USD,USA,Illinois,8 - 10 years,8 - 10 years,Master's degree,Female,White
25-34,"Marketing, Advertising & PR",Senior brand writer,120000.0,6000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,"Accounting, Banking & Finance",Senior auditor,77000.0,1200.0,USD,USA,New York,2 - 4 years,2 - 4 years,Master's degree,Female,Asian or Asian American
25-34,Transport or Logistics,Train driver,58950.0,17500.0,GBP,England,Outside of the US,8 - 10 years,8 - 10 years,College degree,Male,Another option not listed here or prefer not to answer
35-44,Business or Consulting,Director of Finance,150000.0,15000.0,USD,USA,Texas,11 - 20 years,11 - 20 years,Master's degree,Female,Asian or Asian American
35-44,Computing or Tech,Software Engineer,159000.0,0.0,USD,USA,Washington,11 - 20 years,8 - 10 years,Some college,Male,White
25-34,Computing or Tech,Director of Customer Success,123600.0,0.0,CAD,Canada,Outside of the US,5-7 years,5-7 years,College degree,Male,White
45-54,"Accounting, Banking & Finance",Salesforce Training/Change Management Professional,112000.0,5500.0,USD,USA,Virginia,21 - 30 years,11 - 20 years,Master's degree,Female,Black or African American
35-44,Computing or Tech,Scientist,160000.0,200000.0,USD,USA,Washington,8 - 10 years,8 - 10 years,PhD,Male,White
35-44,Law,Assistant United States Attorney,120000.0,2000.0,USD,USA,New Mexico,11 - 20 years,8 - 10 years,"Professional degree (MD, JD, etc.)",Female,Another option not listed here or prefer not to answer
25-34,Media & Digital,Sr Software Engineering Manager ,153000.0,25000.0,USD,USA,Minnesota,11 - 20 years,5-7 years,College degree,Male,White
35-44,Computing or Tech,Senior Software Engineer,157400.0,17000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Utilities & Telecommunications,Director of Engineering,210000.0,20000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,Some college,Male,White
25-34,Government and Public Administration,Data Analyst,62000.0,0.0,USD,USA,North Carolina,2 - 4 years,2 - 4 years,College degree,Non-binary,White
35-44,Computing or Tech,Staff Software Engineer ,250000.0,600000.0,USD,USA,California,11 - 20 years,11 - 20 years,Master's degree,Male,White
35-44,Insurance,Senior developer,113500.0,2000.0,USD,USA,Wisconsin,8 - 10 years,8 - 10 years,Some college,Male,White
25-34,Engineering or Manufacturing,Technical scientist,77250.0,3000.0,USD,USA,Texas,5-7 years,5-7 years,College degree,Female,White
45-54,Computing or Tech,Software Development Manager,160000.0,178000.0,USD,USA,Washington,21 - 30 years,21 - 30 years,College degree,Male,White
35-44,Law,Partner,32000.0,45000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,"Professional degree (MD, JD, etc.)",Male,White
35-44,Computing or Tech,Senior JavaScript Developer,91000.0,0.0,USD,USA,Nebraska,5-7 years,2 - 4 years,College degree,Male,White
55-64,Computing or Tech,Senior Director,265000.0,0.0,USD,USA,Washington,31 - 40 years,31 - 40 years,Master's degree,Other or prefer not to answer,White
25-34,Insurance,Senior Director of Engineering ,260000.0,65000.0,USD,USA,California,11 - 20 years,8 - 10 years,College degree,Male,Asian or Asian American
35-44,Engineering or Manufacturing,Sr principal engineer,169000.0,15000.0,USD,USA,Massachusetts,11 - 20 years,11 - 20 years,Master's degree,Male,"Native American or Alaska Native, White"
25-34,Utilities & Telecommunications,Network engineer,90000.0,5000.0,USD,USA,California,11 - 20 years,5-7 years,Some college,Male,White
25-34,Law,Attorney,110000.0,0.0,USD,USA,Texas,8 - 10 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Female,White
35-44,Health care,Sr software engineer,135000.0,0.0,USD,USA,California,11 - 20 years,8 - 10 years,Some college,Male,"Native American or Alaska Native, White"
45-54,Nonprofits,Curator,86000.0,0.0,USD,USA,Kentucky,21 - 30 years,21 - 30 years,Master's degree,Other or prefer not to answer,White
25-34,Computing or Tech,Software Engineer,159000.0,201000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Male,"Black or African American, White"
35-44,Retail,IT Infrastructure Manager,150000.0,50000.0,USD,USA,Wisconsin,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Computing or Tech,Engineering Manager,186000.0,50000.0,USD,USA,Illinois,11 - 20 years,21 - 30 years,Some college,Female,White
35-44,Computing or Tech,Software Engineer IV,135000.0,15000.0,USD,USA,Pennsylvania,11 - 20 years,11 - 20 years,College degree,Male,Asian or Asian American
35-44,"Marketing, Advertising & PR",Director of Digital Services ,85000.0,11000.0,USD,USA,Wisconsin,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Computing or Tech,Software Engineer,190000.0,50000.0,USD,USA,California,8 - 10 years,8 - 10 years,College degree,Male,Asian or Asian American
25-34,Transport or Logistics,Logistics Coordinator,55000.0,0.0,USD,USA,New Jersey,1 year or less,1 year or less,Some college,Non-binary,White
35-44,Education (Higher Education),Asst director ,100000.0,0.0,USD,USA,New York,8 - 10 years,8 - 10 years,Master's degree,Female,"Asian or Asian American, White"
45-54,"Accounting, Banking & Finance",Database Administrator ,97000.0,6000.0,USD,USA,Washington,11 - 20 years,8 - 10 years,College degree,Other or prefer not to answer,White
25-34,Computing or Tech,Senior Product Manager ,185000.0,30000.0,USD,USA,California,5-7 years,5-7 years,College degree,Female,White
35-44,Computing or Tech,Software Engineer,250600.0,245500.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,White
35-44,Education (Higher Education),Director of Educational Counseling,91000.0,3000.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,Master's degree,Male,White
35-44,"Accounting, Banking & Finance",Assistant Vice President,155000.0,30000.0,USD,USA,Illinois,11 - 20 years,11 - 20 years,Master's degree,Male,White
25-34,Computing or Tech,Program Manager,120000.0,80000.0,USD,USA,California,11 - 20 years,5-7 years,College degree,Male,White
25-34,Computing or Tech,Product manager,110000.0,10000.0,CAD,Canada,Outside of the US,11 - 20 years,5-7 years,College degree,Male,White
25-34,Government and Public Administration,Librarian,52000.0,0.0,CAD,Canada,Outside of the US,5-7 years,2 - 4 years,Master's degree,Female,Asian or Asian American
25-34,Computing or Tech,Software Engineer,87000.0,0.0,USD,USA,Pennsylvania,5-7 years,2 - 4 years,College degree,Male,White
35-44,Computing or Tech,"Senior Manager, Operations",160000.0,120000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,Insurance,Data scientist,99000.0,5000.0,USD,USA,Oregon,2 - 4 years,2 - 4 years,PhD,Male,White
25-34,Computing or Tech,Technical support engineer ,85000.0,0.0,USD,USA,California,11 - 20 years,5-7 years,Some college,Female,Asian or Asian American
25-34,Computing or Tech,Data Analyst,105000.0,25000.0,USD,USA,Washington,5-7 years,5-7 years,College degree,Female,White
25-34,Computing or Tech,Program Manager,97000.0,60000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,White
45-54,Computing or Tech,Director,300000.0,700000.0,USD,USA,California,21 - 30 years,2 - 4 years,"Professional degree (MD, JD, etc.)",Male,White
25-34,"Accounting, Banking & Finance",Data Scientist,185000.0,190000.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
35-44,"Accounting, Banking & Finance",UX Engineer Manager,190000.0,38000.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,Master's degree,Male,White
35-44,Computing or Tech,Head of Software Engineering,280000.0,600000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,"Marketing, Advertising & PR",Senior Communications Specialist,78000.0,0.0,USD,USA,Washington,5-7 years,5-7 years,Master's degree,Female,White
35-44,Government and Public Administration,Software Development Manager,160000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,College degree,Male,Asian or Asian American
25-34,Clergy,Senior Pastor,50000.0,6000.0,USD,USA,Washington,11 - 20 years,5-7 years,Master's degree,Male,White
45-54,"Accounting, Banking & Finance",Director of Mortgage Operations,150000.0,35000.0,CAD,Canada,Outside of the US,31 - 40 years,31 - 40 years,Some college,Female,White
25-34,Computing or Tech,Principal Software Engineer,170000.0,17000.0,USD,USA,Massachusetts,8 - 10 years,5-7 years,College degree,Male,White
35-44,Computing or Tech,Engineering Manager,630000.0,0.0,USD,USA,Colorado,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Computing or Tech,Senior software engineer ,150000.0,15000.0,USD,USA,Massachusetts,8 - 10 years,8 - 10 years,Master's degree,Male,Asian or Asian American
18-24,Law,Associate Attorney ,75000.0,0.0,USD,USA,North Carolina,2 - 4 years,1 year or less,"Professional degree (MD, JD, etc.)",Female,"Hispanic, Latino, or Spanish origin"
55-64,Social Work,Clinical Director,71000.0,0.0,USD,USA,Massachusetts,31 - 40 years,31 - 40 years,Master's degree,Female,White
35-44,Engineering or Manufacturing,Software Engineer,113000.0,3000.0,USD,USA,New York,11 - 20 years,11 - 20 years,Master's degree,Male,White
35-44,Education (Higher Education),Assistant Professor,54000.0,0.0,USD,USA,Texas,2 - 4 years,5-7 years,PhD,Male,White
35-44,Transport or Logistics,Engineering Mamager,140000.0,20000.0,EUR,Argentina,Outside of the US,21 - 30 years,21 - 30 years,College degree,Male,Asian or Asian American
25-34,Retail,Grocery employee,32448.0,0.0,USD,USA,Minnesota,11 - 20 years,2 - 4 years,Some college,Male,White
45-54,Computing or Tech,"Director, Software Engineering",235000.0,125000.0,USD,USA,California,8 - 10 years,8 - 10 years,High School,Male,Asian or Asian American
35-44,"Accounting, Banking & Finance",Senior Financial Analyst,92000.0,2000.0,USD,USA,Ohio,8 - 10 years,8 - 10 years,Master's degree,Female,White
35-44,Computing or Tech,Senior consultant,135000.0,6000.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Male,White
35-44,Computing or Tech,Web Development Director,150000.0,16000.0,USD,USA,California,11 - 20 years,11 - 20 years,College degree,Male,White
25-34,Computing or Tech,network engingeer,52000.0,10000.0,USD,USA,Texas,1 year or less,2 - 4 years,College degree,Male,White
55-64,International development,Publishing specialist,156000.0,0.0,USD,Phillipines,Outside of the US,31 - 40 years,31 - 40 years,Master's degree,Female,Asian or Asian American
45-54,Computing or Tech,Senior Product Designer,140000.0,3500.0,AUD/NZD,Australia,Outside of the US,21 - 30 years,11 - 20 years,Master's degree,Female,White
35-44,Computing or Tech,Engineering Director ,135000.0,20000.0,CAD,Canada,Outside of the US,11 - 20 years,11 - 20 years,College degree,Female,White
25-34,Nonprofits,Development Manager,89500.0,0.0,USD,USA,New York,5-7 years,5-7 years,College degree,Female,White
55-64,Insurance,Underwriting Assistant,93300.0,6500.0,USD,USA,California,31 - 40 years,21 - 30 years,College degree,Female,White
35-44,Computing or Tech,Cloud Solutions Media Support Engineer,150000.0,15000.0,USD,USA,Washington,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Computing or Tech,Senior software developer,120000.0,0.0,USD,USA,New York,11 - 20 years,8 - 10 years,Master's degree,Male,White
45-54,Health care,"Senior Executive Assistant, Office of the CEO",82000.0,10000.0,USD,USA,Minnesota,21 - 30 years,21 - 30 years,College degree,Female,Another option not listed here or prefer not to answer
25-34,Computing or Tech,VP Engineering,275000.0,50000.0,USD,USA,California,11 - 20 years,11 - 20 years,Some college,Male,White
35-44,Computing or Tech,Staff Software Engineer,230000.0,120000.0,USD,USA,New York,11 - 20 years,11 - 20 years,College degree,Male,White
45-54,Computing or Tech,Technical writing manager,165000.0,25000.0,USD,USA,California,21 - 30 years,21 - 30 years,College degree,Male,White
25-34,Computing or Tech,Lead Product Designer,150000.0,22500.0,USD,USA,District of Columbia,8 - 10 years,8 - 10 years,College degree,Female,Asian or Asian American
35-44,Art & Design,Senior Art Director,96000.0,1500.0,USD,USA,Washington,11 - 20 years,8 - 10 years,College degree,Female,White
18-24,Business or Consulting,Forecasting Analyst,55000.0,5500.0,CAD,Canada,Outside of the US,2 - 4 years,2 - 4 years,College degree,Female,Asian or Asian American
35-44,Computing or Tech,Senior Product Designer ,92580.0,9000.0,Other,Singapore,Outside of the US,11 - 20 years,5-7 years,Master's degree,Female,Asian or Asian American
35-44,Computing or Tech,IT Manager,87000.0,8700.0,USD,USA,Indiana,21 - 30 years,11 - 20 years,College degree,Male,"Asian or Asian American, White"
35-44,Computing or Tech,Senior Agile Coach ,80000.0,0.0,EUR,Argentina,Outside of the US,21 - 30 years,8 - 10 years,High School,Male,White
25-34,Nonprofits,Senior policy analyst,85300.0,0.0,USD,USA,Colorado,5-7 years,5-7 years,"Professional degree (MD, JD, etc.)",Female,White
45-54,Computing or Tech,Product Design Manager,164000.0,24600.0,USD,USA,Washington,21 - 30 years,11 - 20 years,College degree,Male,"Native American or Alaska Native, White"
25-34,Education (Primary/Secondary),Teacher,53500.0,1000.0,USD,USA,Texas,2 - 4 years,2 - 4 years,College degree,Female,White
25-34,Research,Postdoctoral Researcher,86158.0,684.0,AUD/NZD,Australia,Outside of the US,2 - 4 years,2 - 4 years,PhD,Male,White
25-34,Computing or Tech,Director of People Operations,92000.0,0.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,Some college,Female,White
35-44,Computing or Tech,IT Service Delivery Manager,75000.0,12000.0,USD,USA,Indiana,21 - 30 years,11 - 20 years,College degree,Male,"Asian or Asian American, White"
35-44,Business or Consulting,Maangement Consultant,197600.0,0.0,USD,USA,Oregon,11 - 20 years,11 - 20 years,College degree,Female,White
45-54,Entertainment,Vice President of Production,300000.0,300000.0,USD,USA,Washington,31 - 40 years,21 - 30 years,High School,Male,White
25-34,Computing or Tech,Customer Solution Engineer,135000.0,50000.0,USD,USA,California,5-7 years,2 - 4 years,Master's degree,Male,White
45-54,Computing or Tech,Director,185000.0,25000.0,USD,USA,Florida,21 - 30 years,21 - 30 years,Master's degree,Male,White
35-44,Health care,Data scientist,130000.0,0.0,USD,USA,California,11 - 20 years,2 - 4 years,PhD,Male,"Hispanic, Latino, or Spanish origin"
35-44,Government and Public Administration,Senior DevOps Engineer,150000.0,0.0,USD,USA,California,11 - 20 years,11 - 20 years,Some college,Male,White
25-34,Computing or Tech,Software Engineer,141000.0,0.0,USD,USA,California,2 - 4 years,2 - 4 years,College degree,Male,White
25-34,Utilities & Telecommunications,Marketing specialist ,63000.0,5000.0,CAD,Canada,Outside of the US,8 - 10 years,2 - 4 years,College degree,Female,White
25-34,"Marketing, Advertising & PR",Senior Product Marketing Manager,210000.0,35000.0,USD,USA,California,8 - 10 years,2 - 4 years,Master's degree,Male,Asian or Asian American
25-34,Computing or Tech,Security Engineer,159000.0,19500.0,USD,USA,California,5-7 years,2 - 4 years,Master's degree,Male,"Asian or Asian American, White"
35-44,Health care,Social Media Manager,58240.0,2000.0,USD,USA,Colorado,11 - 20 years,8 - 10 years,College degree,Female,White
25-34,Health care,social worker,67200.0,0.0,USD,USA,New York,8 - 10 years,2 - 4 years,Master's degree,Female,White
